Timestamp,U3_HNC10AA101XQ01,U3_HNC10AN001XQ01,U3_HNC10CF101,U3_HNC10CG101XQ01,U3_DPU56A105
163,51.46838,315.23233,4.64054,50.87911,4942.69287
164,51.41842,314.35382,4.68667,50.87481,4978.47607
165,51.37962,315.21277,4.72928,50.87051,4897.14502
166,51.30922,314.94897,4.73315,50.86621,4884.49609
167,51.28841,316.21945,4.67378,50.86191,4877.6333
168,51.24344,315.34277,4.69644,50.85761,4870.77051
169,51.22346,314.60248,4.67535,50.85331,4873.98682
170,51.19773,315.93796,4.68741,50.84901,4883.32666
171,51.24066,313.81085,4.6841,50.84472,4894.20508
172,51.30307,315.40817,4.70366,50.84042,4916.1582
173,51.26302,314.91965,4.69349,50.83612,4938.11133
174,51.23737,315.21353,4.6509,50.83182,4960.06494
175,51.22491,315.03622,4.68017,50.82752,4982.01807
176,51.24161,317.16046,4.70905,50.82322,4874.18457
177,51.24913,315.23599,4.71078,50.81892,4849.97754
178,51.21345,317.18317,4.73532,50.81462,4879.95654
179,51.1904,316.56735,4.70687,50.81032,4903.41016
180,51.16097,315.58136,4.72662,50.80602,4885.05322
181,51.13335,314.7814,4.68093,50.80172,4866.69629
182,51.10841,315.21436,4.68727,50.79742,4859.25586
183,51.11412,315.65488,4.69446,50.79313,4890.18262
184,51.05436,315.22168,4.66966,50.78883,4913.91504
185,51.02571,315.40939,4.71308,50.78453,4931.04395
186,50.95147,314.30539,4.70246,50.78023,4948.17285
187,50.93447,316.00366,4.72233,50.77593,4952.30811
188,50.88034,315.85394,4.72386,50.77163,4910.72314
189,50.85728,316.81241,4.7082,50.76734,4869.13867
190,50.80225,316.19641,4.68679,50.76221,4889.57617
191,50.77153,316.63812,4.70544,50.71861,4923.51807
192,50.77625,317.27774,4.71777,50.675,4924.00195
193,50.74038,316.04004,4.64493,50.63139,4904.0752
194,50.68923,315.33344,4.71634,50.58779,4889.18555
195,50.62949,315.16635,4.65473,50.54418,4910.88818
196,50.61448,315.66727,4.69409,50.50157,4932.59082
197,50.59946,316.15576,4.73354,50.46032,4944.39014
198,50.55185,316.64423,4.70855,50.41907,4935.22021
199,50.49752,314.36676,4.63134,50.37782,4926.05078
200,50.46599,316.55655,4.72272,50.33657,4919.06885
201,50.4074,318.38873,4.75332,50.29533,4916.72119
202,50.32847,315.62329,4.71851,50.25408,4914.37305
203,50.24884,315.88821,4.73536,50.21128,4912.36523
204,50.1635,316.01166,4.71287,50.09501,4926.52441
205,49.99281,316.1619,4.75285,49.97872,4940.68359
206,49.96464,316.80447,4.71547,49.94904,4954.84277
207,49.96735,315.61835,4.74883,49.92685,4969.00195
208,49.95168,315.37903,4.7216,49.90465,4936.36084
209,49.98529,315.77939,4.757,49.88245,4899.67236
210,49.97668,317.29156,4.72275,49.86025,4902.71729
211,49.96273,334.74615,4.70852,49.83805,4909.20361
212,49.96755,337.78152,4.72643,49.81585,4915.68994
213,49.96682,335.67258,4.74401,49.79366,4912.12939
214,49.95307,338.88129,4.73091,49.77145,4899.29883
215,49.86377,316.68295,4.71055,49.74926,4886.46777
216,49.77467,339.04404,4.79237,49.72705,4917.14941
217,49.7745,335.82791,4.71726,49.67848,4974.49902
218,49.71587,336.97278,4.75331,49.62761,4967.36621
219,49.7024,318.1189,4.73103,49.57673,4913.375
220,49.6855,316.88855,4.75168,49.52586,4904.42334
221,49.4929,318.40378,4.7522,49.46585,4895.47217
222,49.39234,316.75757,4.7122,49.33867,4887.50146
223,49.38253,315.58136,4.75372,49.21149,4881.61914
224,49.20413,315.57648,4.69647,49.11523,4875.73682
225,49.11601,315.93567,4.68237,49.03102,4900.49561
226,48.96287,318.96677,4.74623,48.94682,4953.58398
227,48.87449,318.08652,4.74477,48.81391,4955.54102
228,48.60883,316.92444,4.75084,48.65097,4946.23584
229,48.42908,318.02271,4.70977,48.40678,4930.01563
230,48.33997,315.94733,4.68006,48.24739,4899.06055
231,48.19629,314.93314,4.63942,48.22297,4868.10596
232,48.02463,315.59915,4.71866,48.18437,4886.8042
233,47.90017,313.96777,4.68294,47.8717,4916.46094
234,47.86318,312.44171,4.64083,47.88026,4877.0459
235,47.88472,312.94128,4.72243,47.86376,4810.6626
236,47.94972,312.07407,4.62454,47.84726,4844.42773
237,48.00804,312.5687,4.66671,47.8431,4917.31396
238,47.98516,314.02661,4.62636,47.84261,4880.34082
239,48.15799,314.35577,4.64449,47.86746,4844.74609
240,48.41606,311.75937,4.61093,47.83533,4832.77637
241,48.46401,313.69128,4.63946,47.85822,4820.80615
242,48.4718,313.64801,4.63831,47.88597,4826.75049
243,48.59446,311.38565,4.63798,47.87383,4849.31006
244,48.67761,313.74362,4.66426,47.84608,4866.82617
245,48.73578,313.95245,4.67097,47.89283,4877.33887
246,48.7276,312.077,4.63679,47.84195,4887.85205
247,48.83921,313.14966,4.63405,47.86797,4897.646
248,48.87197,312.97324,4.66472,47.84402,4869.2915
249,48.90289,312.96286,4.6424,47.8428,4840.93701
250,48.87219,315.8476,4.64423,47.86211,4850.7876
251,48.91768,312.76093,4.61708,47.92266,4884.21338
252,48.96918,313.68512,4.64252,48.04104,4889.92676
253,48.92252,312.47507,4.65459,48.08174,4869.88428
254,48.82959,315.85004,4.65182,48.12243,4849.84229
255,48.88155,311.29761,4.67472,48.16313,4885.53418
256,48.8313,312.74179,4.65016,48.20383,4926.19141
