,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-04|05:02:28.000,31.82547,25.63999,28.16427,37.62245
2017-01-04|05:02:38.000,31.82544,25.60481,28.17683,37.60909
2017-01-04|05:02:48.000,31.82028,25.58572,28.19504,37.59732
2017-01-04|05:02:58.000,31.81511,25.659,28.20938,37.57708
2017-01-04|05:03:08.000,31.80995,25.66206,28.19434,37.59742
2017-01-04|05:03:18.000,31.80478,25.59597,28.19943,37.60867
2017-01-04|05:03:28.000,31.78882,25.68052,28.21371,37.61992
2017-01-04|05:03:38.000,31.78049,25.57845,28.2116,37.63279
2017-01-04|05:03:48.000,31.78766,25.65119,28.20948,37.64571
2017-01-04|05:03:58.000,31.79484,25.63245,28.20737,37.6628
2017-01-04|05:04:08.000,31.80202,25.61127,28.20525,37.6959
2017-01-04|05:04:18.000,31.82152,25.67305,28.20313,37.74766
2017-01-04|05:04:28.000,31.82217,25.63012,28.20102,37.79942
2017-01-04|05:04:38.000,31.81204,25.58147,28.1989,37.79121
2017-01-04|05:04:48.000,31.80191,25.63457,28.19679,37.64222
2017-01-04|05:04:58.000,31.79178,25.60655,28.19467,37.47214
2017-01-04|05:05:08.000,31.78165,25.64101,28.19256,37.34787
2017-01-04|05:05:18.000,31.77993,25.59105,28.19044,37.2654
2017-01-04|05:05:28.000,31.79716,25.67751,28.2037,37.21156
2017-01-04|05:05:38.000,31.8091,25.6677,28.20057,37.1619
2017-01-04|05:05:48.000,31.81833,25.6545,28.19666,37.1239
2017-01-04|05:05:58.000,31.82755,25.63179,28.20648,37.09346
2017-01-04|05:06:08.000,31.80291,25.60895,28.20401,37.06851
2017-01-04|05:06:18.000,31.80091,25.61152,28.18252,37.05493
2017-01-04|05:06:28.000,31.7989,25.64902,28.1747,37.08536
2017-01-04|05:06:38.000,31.7969,25.64511,28.16688,37.15968
2017-01-04|05:06:48.000,31.7949,25.67587,28.18011,37.19017
2017-01-04|05:06:58.000,31.7929,25.65902,28.18237,37.15489
2017-01-04|05:07:08.000,31.79089,25.61279,28.16539,37.13388
2017-01-04|05:07:18.000,31.78889,25.66214,28.1714,37.15379
2017-01-04|05:07:28.000,31.78689,25.61342,28.1774,37.17527
2017-01-04|05:07:38.000,31.78489,25.63468,28.1834,37.2175
2017-01-04|05:07:48.000,31.78288,25.64453,28.18261,37.24927
2017-01-04|05:07:58.000,31.78088,25.59688,28.17954,37.29462
2017-01-04|05:08:08.000,31.77887,25.62096,28.17571,37.358
2017-01-04|05:08:18.000,31.7731,25.62967,28.16392,37.5837
2017-01-04|05:08:28.000,31.74727,25.60517,28.17198,37.75478
2017-01-04|05:08:38.000,31.72144,25.58112,28.18005,37.81355
2017-01-04|05:08:48.000,31.77739,25.64046,28.18811,37.81194
2017-01-04|05:08:58.000,31.78079,25.67481,28.18043,37.76199
2017-01-04|05:09:08.000,31.78419,25.65274,28.19452,37.7339
2017-01-04|05:09:18.000,31.78759,25.67118,28.20373,37.70907
2017-01-04|05:09:28.000,31.79099,25.60629,28.21295,37.67672
2017-01-04|05:09:38.000,31.79439,25.66414,28.21821,37.68798
2017-01-04|05:09:48.000,31.79778,25.67686,28.22282,37.70986
2017-01-04|05:09:58.000,31.80119,25.59571,28.22742,37.72863
2017-01-04|05:10:08.000,31.81147,25.58561,28.23203,37.73897
2017-01-04|05:10:18.000,31.82671,25.60007,28.23664,37.74932
2017-01-04|05:10:28.000,31.79759,25.57983,28.21532,37.76077
2017-01-04|05:10:38.000,31.78239,25.62263,28.23375,37.77227
2017-01-04|05:10:48.000,31.8027,25.64212,28.23641,37.78378
2017-01-04|05:10:58.000,31.80062,25.64378,28.2397,37.79528
2017-01-04|05:11:08.000,31.79853,25.58272,28.23871,37.84098
2017-01-04|05:11:18.000,31.79645,25.59133,28.23772,37.89118
2017-01-04|05:11:28.000,31.79436,25.59742,28.23674,37.89953
2017-01-04|05:11:38.000,31.79228,25.6294,28.23575,37.86214
2017-01-04|05:11:48.000,31.7902,25.67132,28.23476,37.81629
2017-01-04|05:11:58.000,31.78811,25.62506,28.23377,37.76371
2017-01-04|05:12:08.000,31.78603,25.64823,28.23278,37.71371
2017-01-04|05:12:18.000,31.78395,25.64469,28.2318,37.67841
2017-01-04|05:12:28.000,31.78186,25.62113,28.23081,37.65987
2017-01-04|05:12:38.000,31.77978,25.6117,28.22982,37.64895
2017-01-04|05:12:48.000,31.77769,25.67384,28.22883,37.66621
2017-01-04|05:12:58.000,31.77458,25.63459,28.22784,37.64764
2017-01-04|05:13:08.000,31.77114,25.59533,28.22686,37.67229
2017-01-04|05:13:18.000,31.76769,25.65928,28.22587,37.69695
2017-01-04|05:13:28.000,31.76425,25.5977,28.22488,37.66611
2017-01-04|05:13:38.000,31.7608,25.58191,28.22389,37.65533
2017-01-04|05:13:48.000,31.75736,25.65492,28.2229,37.63948
2017-01-04|05:13:58.000,31.75391,25.63004,28.22192,37.65699
2017-01-04|05:14:08.000,31.74963,25.60373,28.22093,37.68971
2017-01-04|05:14:18.000,31.74292,25.59315,28.21994,37.739
2017-01-04|05:14:28.000,31.73621,25.66042,28.21895,37.74244
2017-01-04|05:14:38.000,31.72951,25.58646,28.21796,37.55763
2017-01-04|05:14:48.000,31.7228,25.60843,28.21697,37.39496
2017-01-04|05:14:58.000,31.71609,25.60667,28.21598,37.22736
2017-01-04|05:15:08.000,31.70938,25.62659,28.215,37.12508
2017-01-04|05:15:18.000,31.70267,25.57244,28.22661,37.06512
2017-01-04|05:15:28.000,31.69171,25.56235,28.20859,37.02386
2017-01-04|05:15:38.000,31.67736,25.55227,28.20198,37.01847
2017-01-04|05:15:48.000,31.66455,25.54218,28.19536,37.01308
2017-01-04|05:15:58.000,31.65225,25.5321,28.18874,37.00768
2017-01-04|05:16:08.000,31.65367,25.52202,28.20278,37.00229
2017-01-04|05:16:18.000,31.66228,25.51193,28.19052,36.98756
2017-01-04|05:16:28.000,31.6709,25.50185,28.20113,36.9499
2017-01-04|05:16:38.000,31.67501,25.49177,28.20384,36.92513
2017-01-04|05:16:48.000,31.67677,25.48168,28.18362,36.89139
2017-01-04|05:16:58.000,31.67853,25.4716,28.17003,36.87246
2017-01-04|05:17:08.000,31.68028,25.48573,28.16755,36.88204
2017-01-04|05:17:18.000,31.68204,25.57029,28.1783,36.89162
2017-01-04|05:17:28.000,31.6838,25.55213,28.17405,36.90786
2017-01-04|05:17:38.000,31.68555,25.52923,28.16913,36.94907
2017-01-04|05:17:48.000,31.68731,25.50633,28.17593,36.97612
2017-01-04|05:17:58.000,31.68907,25.48343,28.18272,37.02316
2017-01-04|05:18:08.000,31.69083,25.56964,28.16258,37.07988
2017-01-04|05:18:18.000,31.69258,25.49113,28.16146,37.21355
2017-01-04|05:18:28.000,31.69434,25.49079,28.16034,37.33214
2017-01-04|05:18:38.000,31.6961,25.53149,28.15921,37.27216
2017-01-04|05:18:48.000,31.69786,25.5722,28.15809,37.19629
2017-01-04|05:18:58.000,31.69962,25.56272,28.15697,37.14283
2017-01-04|05:19:08.000,31.7134,25.5509,28.15585,37.12402
2017-01-04|05:19:18.000,31.72437,25.53909,28.15473,37.11367
2017-01-04|05:19:28.000,31.71699,25.52727,28.15361,37.10332
2017-01-04|05:19:38.000,31.70961,25.51545,28.15248,37.11168
2017-01-04|05:19:48.000,31.70224,25.50363,28.15136,37.12093
2017-01-04|05:19:58.000,31.70439,25.49181,28.15024,37.13182
2017-01-04|05:20:08.000,31.71156,25.47999,28.14912,37.15173
2017-01-04|05:20:18.000,31.71873,25.46817,28.148,37.17041
2017-01-04|05:20:28.000,31.72575,25.56156,28.14687,37.20403
2017-01-04|05:20:38.000,31.73005,25.53913,28.14575,37.22008
2017-01-04|05:20:48.000,31.73436,25.5167,28.14463,37.23695
2017-01-04|05:20:58.000,31.73867,25.49427,28.14351,37.26738
2017-01-04|05:21:08.000,31.74298,25.47184,28.14238,37.35576
2017-01-04|05:21:18.000,31.74728,25.55902,28.14126,37.40159
2017-01-04|05:21:28.000,31.75092,25.51674,28.14014,37.35386
2017-01-04|05:21:38.000,31.74309,25.47447,28.13902,37.25339
2017-01-04|05:21:48.000,31.73526,25.47405,28.13789,37.15037
2017-01-04|05:21:58.000,31.72743,25.52411,28.14388,37.07417
2017-01-04|05:22:08.000,31.72145,25.48657,28.15326,37.0256
2017-01-04|05:22:18.000,31.71607,25.50775,28.14957,37.03223
2017-01-04|05:22:28.000,31.7107,25.5656,28.16118,37.03887
2017-01-04|05:22:38.000,31.70532,25.47606,28.15545,37.04551
2017-01-04|05:22:48.000,31.69994,25.48696,28.14971,37.05511
2017-01-04|05:22:58.000,31.70137,25.5267,28.14398,37.07966
2017-01-04|05:23:08.000,31.70313,25.52063,28.13824,37.0969
2017-01-04|05:23:18.000,31.70488,25.49614,28.16213,37.13696
2017-01-04|05:23:28.000,31.70664,25.51813,28.16135,37.1781
2017-01-04|05:23:38.000,31.7084,25.50357,28.16057,37.34902
2017-01-04|05:23:48.000,31.71015,25.55591,28.15979,37.34151
2017-01-04|05:23:58.000,31.71191,25.56555,28.15901,37.25768
2017-01-04|05:24:08.000,31.71367,25.53225,28.15823,37.16972
2017-01-04|05:24:18.000,31.71542,25.49894,28.15745,37.10915
2017-01-04|05:24:28.000,31.71718,25.46563,28.15667,37.06266
2017-01-04|05:24:38.000,31.71894,25.51412,28.15589,37.03678
2017-01-04|05:24:48.000,31.72069,25.50247,28.15511,37.015
2017-01-04|05:24:58.000,31.72245,25.57633,28.15433,37.00931
2017-01-04|05:25:08.000,31.7242,25.59139,28.15355,37.01241
2017-01-04|05:25:18.000,31.7275,25.60644,28.15277,37.04116
2017-01-04|05:25:28.000,31.73533,25.6215,28.15199,37.07528
2017-01-04|05:25:38.000,31.74316,25.63656,28.15121,37.04511
2017-01-04|05:25:48.000,31.75099,25.65161,28.15043,37.12774
2017-01-04|05:25:58.000,31.72895,25.66667,28.14965,37.10926
2017-01-04|05:26:08.000,31.73433,25.68173,28.14887,37.11131
2017-01-04|05:26:18.000,31.74467,25.62471,28.14809,37.12425
2017-01-04|05:26:28.000,31.72724,25.57062,28.14731,37.14987
2017-01-04|05:26:38.000,31.72953,25.55721,28.14653,37.22417
2017-01-04|05:26:48.000,31.71936,25.54381,28.14575,37.35918
2017-01-04|05:26:58.000,31.7129,25.53041,28.14497,37.30468
2017-01-04|05:27:08.000,31.70645,25.517,28.14419,37.22232
2017-01-04|05:27:18.000,31.7,25.5036,28.14342,37.14966
2017-01-04|05:27:28.000,31.70452,25.49019,28.14264,37.12043
2017-01-04|05:27:38.000,31.70958,25.47679,28.14186,37.08976
2017-01-04|05:27:48.000,31.71464,25.48351,28.14108,37.08241
2017-01-04|05:27:58.000,31.71971,25.53045,28.1403,37.08959
2017-01-04|05:28:08.000,31.72477,25.4726,28.13952,37.09677
2017-01-04|05:28:18.000,31.73775,25.51842,28.13874,37.10945
2017-01-04|05:28:28.000,31.75207,25.5232,28.13796,37.13424
2017-01-04|05:28:38.000,31.76567,25.50938,28.13718,37.14418
2017-01-04|05:28:48.000,31.76732,25.55672,28.16132,37.15413
2017-01-04|05:28:58.000,31.75913,25.48143,28.15758,37.16408
2017-01-04|05:29:08.000,31.76946,25.48723,28.15384,37.17403
2017-01-04|05:29:18.000,31.80795,25.57215,28.1501,37.20329
2017-01-04|05:29:28.000,31.82663,25.53669,28.14636,37.26194
2017-01-04|05:29:38.000,31.82033,25.50124,28.14262,37.38133
2017-01-04|05:29:48.000,31.81403,25.46578,28.13888,37.40024
2017-01-04|05:29:58.000,31.80774,25.48212,28.14332,37.32258
2017-01-04|05:30:08.000,31.7971,25.51615,28.15766,37.23634
2017-01-04|05:30:18.000,31.77796,25.56442,28.14969,37.16921
2017-01-04|05:30:28.000,31.78303,25.56477,28.14962,37.11703
2017-01-04|05:30:38.000,31.78809,25.52813,28.16177,37.0945
2017-01-04|05:30:48.000,31.79316,25.4915,28.16018,37.07779
2017-01-04|05:30:58.000,31.79823,25.56862,28.1586,37.093
2017-01-04|05:31:08.000,31.78956,25.53316,28.15702,37.10749
2017-01-04|05:31:18.000,31.78192,25.49771,28.15544,37.12064
2017-01-04|05:31:28.000,31.78689,25.52125,28.15385,37.1338
2017-01-04|05:31:38.000,31.79186,25.53793,28.15227,37.14695
2017-01-04|05:31:48.000,31.79683,25.50003,28.15069,37.16011
2017-01-04|05:31:58.000,31.8018,25.52114,28.1491,37.17326
2017-01-04|05:32:08.000,31.81022,25.56748,28.14752,37.19509
2017-01-04|05:32:18.000,31.81978,25.56061,28.14594,37.21933
2017-01-04|05:32:28.000,31.82814,25.55374,28.14435,37.24133
2017-01-04|05:32:38.000,31.81455,25.54687,28.14277,37.31341
2017-01-04|05:32:48.000,31.82831,25.54,28.14119,37.45683
2017-01-04|05:32:58.000,31.81799,25.53312,28.1396,37.41319
2017-01-04|05:33:08.000,31.80766,25.52626,28.13802,37.2838
2017-01-04|05:33:18.000,31.77874,25.51939,28.16217,37.19329
2017-01-04|05:33:28.000,31.78219,25.51252,28.15295,37.13422
2017-01-04|05:33:38.000,31.78563,25.50565,28.14373,37.1087
2017-01-04|05:33:48.000,31.78908,25.49878,28.15846,37.07616
2017-01-04|05:33:58.000,31.79252,25.49191,28.15387,37.05999
2017-01-04|05:34:08.000,31.79597,25.48504,28.14466,37.07967
2017-01-04|05:34:18.000,31.79941,25.47817,28.16223,37.08727
2017-01-04|05:34:28.000,31.80286,25.4713,28.15417,37.09488
2017-01-04|05:34:38.000,31.81595,25.46443,28.1461,37.10249
2017-01-04|05:34:48.000,31.82815,25.54877,28.13803,37.11733
2017-01-04|05:34:58.000,31.81456,25.50298,28.14326,37.1248
2017-01-04|05:35:08.000,31.79978,25.4878,28.16297,37.10912
2017-01-04|05:35:18.000,31.77824,25.53271,28.1639,37.09344
2017-01-04|05:35:28.000,31.7649,25.49857,28.16483,37.07777
2017-01-04|05:35:38.000,31.75199,25.54697,28.16575,37.11583
2017-01-04|05:35:48.000,31.73245,25.50348,28.16668,37.14558
2017-01-04|05:35:58.000,31.73046,25.51988,28.16761,37.29274
2017-01-04|05:36:08.000,31.73806,25.51596,28.16854,37.31954
2017-01-04|05:36:18.000,31.74566,25.4917,28.16947,37.26583
2017-01-04|05:36:28.000,31.73205,25.48756,28.1704,37.18821
2017-01-04|05:36:38.000,31.76509,25.51892,28.17133,37.14046
2017-01-04|05:36:48.000,31.77,25.52302,28.17226,37.11255
2017-01-04|05:36:58.000,31.74618,25.5098,28.17319,37.07913
2017-01-04|05:37:08.000,31.73142,25.5672,28.17411,37.05943
2017-01-04|05:37:18.000,31.71666,25.51891,28.17504,37.04094
2017-01-04|05:37:28.000,31.7019,25.49174,28.17597,37.02848
2017-01-04|05:37:38.000,31.71342,25.47017,28.1769,37.05005
2017-01-04|05:37:48.000,31.72931,25.50994,28.17783,37.08104
2017-01-04|05:37:58.000,31.74451,25.51446,28.17875,37.0972
2017-01-04|05:38:08.000,31.75971,25.51901,28.17968,37.1378
2017-01-04|05:38:18.000,31.77491,25.50988,28.18061,37.16593
2017-01-04|05:38:28.000,31.77924,25.56943,28.18154,37.20081
2017-01-04|05:38:38.000,31.78165,25.47783,28.18247,37.23079
2017-01-04|05:38:48.000,31.78407,25.56616,28.18339,37.39179
2017-01-04|05:38:58.000,31.78648,25.51908,28.18432,37.37131
2017-01-04|05:39:08.000,31.7889,25.50337,28.18525,37.29507
2017-01-04|05:39:18.000,31.79131,25.53902,28.18618,37.20313
2017-01-04|05:39:28.000,31.79373,25.56945,28.18711,37.12616
2017-01-04|05:39:38.000,31.79614,25.47785,28.18803,37.08069
2017-01-04|05:39:48.000,31.79856,25.53373,28.17754,37.09547
2017-01-04|05:39:58.000,31.80097,25.48231,28.16379,37.11025
2017-01-04|05:40:08.000,31.80732,25.53065,28.1684,37.12503
2017-01-04|05:40:18.000,31.82654,25.4728,28.17301,37.1456
2017-01-04|05:40:28.000,31.81732,25.51896,28.17762,37.16809
2017-01-04|05:40:38.000,31.8081,25.49912,28.18223,37.17273
2017-01-04|05:40:48.000,31.79473,25.48263,28.18684,37.15549
2017-01-04|05:40:58.000,31.78144,25.56496,28.16638,37.13706
2017-01-04|05:41:08.000,31.79296,25.56537,28.17471,37.13967
2017-01-04|05:41:18.000,31.79012,25.50752,28.18303,37.15891
2017-01-04|05:41:28.000,31.79008,25.55544,28.16334,37.17615
2017-01-04|05:41:38.000,31.78778,25.4686,28.16615,37.33233
2017-01-04|05:41:48.000,31.77381,25.5602,28.16895,37.55547
2017-01-04|05:41:58.000,31.76766,25.50222,28.17176,37.68177
2017-01-04|05:42:08.000,31.76151,25.5467,28.17456,37.69132
2017-01-04|05:42:18.000,31.75536,25.51439,28.17737,37.6824
2017-01-04|05:42:28.000,31.7499,25.53139,28.18017,37.67347
2017-01-04|05:42:38.000,31.74573,25.49217,28.18298,37.65522
2017-01-04|05:42:48.000,31.74156,25.47346,28.18578,37.63333
2017-01-04|05:42:58.000,31.73739,25.46745,28.17583,37.64483
2017-01-04|05:43:08.000,31.73323,25.53615,28.16595,37.62221
2017-01-04|05:43:18.000,31.72906,25.47482,28.20602,37.63452
2017-01-04|05:43:28.000,31.72799,25.53381,28.21492,37.64834
2017-01-04|05:43:38.000,31.74466,25.48194,28.21937,37.66548
2017-01-04|05:43:48.000,31.76133,25.51927,28.22382,37.68966
2017-01-04|05:43:58.000,31.77682,25.53539,28.22826,37.68617
2017-01-04|05:44:08.000,31.76922,25.55987,28.23271,37.70281
2017-01-04|05:44:18.000,31.76162,25.48686,28.23716,37.75334
2017-01-04|05:44:28.000,31.75402,25.5207,28.21758,37.82582
2017-01-04|05:44:38.000,31.76041,25.51373,28.24063,37.76812
2017-01-04|05:44:48.000,31.77437,25.54139,28.2417,37.59733
2017-01-04|05:44:58.000,31.78834,25.51943,28.24276,37.43952
2017-01-04|05:45:08.000,31.80231,25.57982,28.24382,37.29066
2017-01-04|05:45:18.000,31.78771,25.60321,28.24488,37.19029
2017-01-04|05:45:28.000,31.7795,25.62659,28.24595,37.12784
2017-01-04|05:45:38.000,31.78612,25.64998,28.24701,37.10936
2017-01-04|05:45:48.000,31.79275,25.67336,28.24807,37.12517
2017-01-04|05:45:58.000,31.79937,25.68329,28.24913,37.11079
2017-01-04|05:46:08.000,31.79716,25.66988,28.2502,37.124
2017-01-04|05:46:18.000,31.82674,25.65648,28.25126,37.11037
2017-01-04|05:46:28.000,31.82205,25.64308,28.25232,37.07317
2017-01-04|05:46:38.000,31.81735,25.62967,28.25338,37.04346
2017-01-04|05:46:48.000,31.81266,25.61627,28.25445,37.03168
2017-01-04|05:46:58.000,31.80797,25.60286,28.25551,37.04164
2017-01-04|05:47:08.000,31.80327,25.58946,28.25657,37.05215
2017-01-04|05:47:18.000,31.83341,25.57606,28.25763,37.07371
2017-01-04|05:47:28.000,31.84174,25.61284,28.2587,37.11354
2017-01-04|05:47:38.000,31.85008,25.65863,28.25976,37.16225
2017-01-04|05:47:48.000,31.85896,25.62809,28.26082,37.22884
2017-01-04|05:47:58.000,31.86854,25.61227,28.26188,37.36979
2017-01-04|05:48:08.000,31.87811,25.65999,28.26294,37.48199
2017-01-04|05:48:18.000,31.89432,25.65617,28.264,37.43514
2017-01-04|05:48:28.000,31.91044,25.59265,28.26506,37.37476
2017-01-04|05:48:38.000,31.92217,25.62377,28.24412,37.33437
2017-01-04|05:48:48.000,31.93979,25.6287,28.24219,37.30032
2017-01-04|05:48:58.000,31.96847,25.59134,28.24697,37.26465
2017-01-04|05:49:08.000,31.97979,25.66664,28.25175,37.22766
2017-01-04|05:49:18.000,31.98212,25.58142,28.25653,37.20918
2017-01-04|05:49:28.000,31.95619,25.65458,28.26131,37.22201
2017-01-04|05:49:38.000,31.95091,25.57725,28.26283,37.25151
2017-01-04|05:49:48.000,31.94564,25.64594,28.25198,37.31391
2017-01-04|05:49:58.000,31.94037,25.68695,28.25949,37.35988
2017-01-04|05:50:08.000,31.93509,25.69369,28.26413,37.38848
2017-01-04|05:50:18.000,31.9394,25.70043,28.24819,37.41006
2017-01-04|05:50:28.000,31.95554,25.70717,28.25525,37.43162
2017-01-04|05:50:38.000,31.96445,25.71392,28.25323,37.49825
2017-01-04|05:50:48.000,31.97205,25.72066,28.25826,37.70708
2017-01-04|05:50:58.000,31.97965,25.7274,28.24202,37.85932
2017-01-04|05:51:08.000,31.99347,25.73415,28.25381,37.90174
2017-01-04|05:51:18.000,32.015,25.74089,28.25751,37.89434
2017-01-04|05:51:28.000,32.03531,25.74763,28.25803,37.88695
2017-01-04|05:51:38.000,32.03101,25.75438,28.24369,37.87955
2017-01-04|05:51:48.000,32.0267,25.76112,28.26773,37.86319
2017-01-04|05:51:58.000,32.02239,25.76786,28.27532,37.84631
2017-01-04|05:52:08.000,32.01809,25.77461,28.28292,37.82943
2017-01-04|05:52:18.000,32.01378,25.78135,28.2905,37.81255
2017-01-04|05:52:28.000,32.00901,25.7881,28.2674,37.81048
2017-01-04|05:52:38.000,31.99467,25.6833,28.29029,37.82483
2017-01-04|05:52:48.000,31.98518,25.66956,28.29179,37.81744
2017-01-04|05:52:58.000,31.99056,25.65582,28.29445,37.81005
2017-01-04|05:53:08.000,31.99594,25.64208,28.29711,37.80266
2017-01-04|05:53:18.000,32.00132,25.62834,28.29977,37.81247
2017-01-04|05:53:28.000,32.00669,25.6146,28.30243,37.8254
2017-01-04|05:53:38.000,32.02408,25.60086,28.30509,37.84929
2017-01-04|05:53:48.000,32.0336,25.58712,28.30775,37.89682
2017-01-04|05:53:58.000,32.03062,25.62447,28.31041,37.97918
2017-01-04|05:54:08.000,32.02765,25.69056,28.31306,37.87986
2017-01-04|05:54:18.000,32.02468,25.69756,28.31573,37.68148
2017-01-04|05:54:28.000,32.02171,25.70456,28.31222,37.53878
2017-01-04|05:54:38.000,32.01875,25.71156,28.29705,37.43954
2017-01-04|05:54:48.000,32.01577,25.71856,28.30555,37.37158
2017-01-04|05:54:58.000,32.01281,25.72556,28.31028,37.33971
2017-01-04|05:55:08.000,32.00983,25.73256,28.29416,37.35587
2017-01-04|05:55:18.000,32.01196,25.73956,28.3159,37.37678
2017-01-04|05:55:28.000,32.01437,25.74656,28.29461,37.41434
2017-01-04|05:55:38.000,32.01679,25.75356,28.29665,37.43591
2017-01-04|05:55:48.000,32.0192,25.76056,28.31406,37.46227
2017-01-04|05:55:58.000,32.02162,25.76756,28.30338,37.4895
2017-01-04|05:56:08.000,32.02403,25.77457,28.29871,37.5098
2017-01-04|05:56:18.000,32.02645,25.78157,28.30262,37.53138
2017-01-04|05:56:28.000,32.02886,25.78857,28.31584,37.55388
2017-01-04|05:56:38.000,32.03128,25.77701,28.30462,37.57854
2017-01-04|05:56:48.000,32.03369,25.70831,28.29341,37.58563
2017-01-04|05:56:58.000,32.04818,25.76727,28.29403,37.5611
2017-01-04|05:57:08.000,32.07052,25.70156,28.30908,37.50565
2017-01-04|05:57:18.000,32.08283,25.73388,28.29099,37.44279
2017-01-04|05:57:28.000,32.10233,25.76621,28.28822,37.37306
2017-01-04|05:57:38.000,32.11492,25.68464,28.28544,37.3159
2017-01-04|05:57:48.000,32.11841,25.70034,28.28267,37.27119
2017-01-04|05:57:58.000,32.1219,25.71604,28.27989,37.23461
2017-01-04|05:58:08.000,32.12539,25.73174,28.27712,37.20778
2017-01-04|05:58:18.000,32.12889,25.74745,28.27434,37.22073
2017-01-04|05:58:28.000,32.13238,25.76315,28.27157,37.24279
2017-01-04|05:58:38.000,32.13587,25.77885,28.26879,37.29453
2017-01-04|05:58:48.000,32.14153,25.78405,28.26602,37.35059
2017-01-04|05:58:58.000,32.15998,25.73182,28.28753,37.39371
2017-01-04|05:59:08.000,32.13639,25.81975,28.28164,37.43349
2017-01-04|05:59:18.000,32.12921,25.87937,28.29108,37.60599
2017-01-04|05:59:28.000,32.12203,25.87823,28.29038,37.85231
2017-01-04|05:59:38.000,32.11485,25.70532,28.28969,37.99128
2017-01-04|05:59:48.000,32.1097,25.80995,28.28899,38.02868
2017-01-04|05:59:58.000,32.10525,25.83493,28.28829,38.00544
2017-01-04|06:00:08.000,32.1008,25.85991,28.28759,37.98388
2017-01-04|06:00:18.000,32.09635,25.88489,28.28689,37.9427
2017-01-04|06:00:28.000,32.0919,25.79924,28.2862,37.93482
2017-01-04|06:00:38.000,32.08744,25.89544,28.2855,37.94201
2017-01-04|06:00:48.000,32.08961,25.83759,28.2848,37.9492
2017-01-04|06:00:58.000,32.11967,25.80797,28.2841,37.95639
2017-01-04|06:01:08.000,32.13001,25.86582,28.2834,37.96901
2017-01-04|06:01:18.000,32.14417,25.80927,28.28271,37.98195
2017-01-04|06:01:28.000,32.17144,25.86857,28.28201,38.01448
2017-01-04|06:01:38.000,32.18663,25.79756,28.28131,38.03173
2017-01-04|06:01:48.000,32.1951,25.8821,28.28061,38.04488
2017-01-04|06:01:58.000,32.20125,25.81294,28.27991,38.08256
2017-01-04|06:02:08.000,32.2074,25.89689,28.27922,38.15947
2017-01-04|06:02:18.000,32.21355,25.86351,28.27852,38.09594
2017-01-04|06:02:28.000,32.22274,25.88311,28.27782,37.92244
2017-01-04|06:02:38.000,32.23449,25.82062,28.27713,37.73783
2017-01-04|06:02:48.000,32.24516,25.83686,28.27643,37.64061
2017-01-04|06:02:58.000,32.25377,25.89686,28.27573,37.56242
2017-01-04|06:03:08.000,32.26239,25.79819,28.27504,37.51312
2017-01-04|06:03:18.000,32.26708,25.89812,28.27434,37.46693
2017-01-04|06:03:28.000,32.26427,25.83464,28.27364,37.40067
2017-01-04|06:03:38.000,32.26146,25.86604,28.27294,37.35173
2017-01-04|06:03:48.000,32.25866,25.84101,28.27225,37.33983
2017-01-04|06:03:58.000,32.25584,25.89128,28.27155,37.34907
2017-01-04|06:04:08.000,32.25304,25.86514,28.27085,37.35831
2017-01-04|06:04:18.000,32.25023,25.84099,28.27015,37.36755
2017-01-04|06:04:28.000,32.24742,25.80567,28.26946,37.37679
2017-01-04|06:04:38.000,32.24461,25.83837,28.26876,37.38602
2017-01-04|06:04:48.000,32.2438,25.82056,28.26806,37.43678
2017-01-04|06:04:58.000,32.25504,25.86563,28.26737,37.57047
2017-01-04|06:05:08.000,32.26628,25.83975,28.26667,37.61879
2017-01-04|06:05:18.000,32.24384,25.80953,28.26597,37.55937
2017-01-04|06:05:28.000,32.24192,25.77033,28.27246,37.50023
2017-01-04|06:05:38.000,32.23546,25.85663,28.28028,37.45172
2017-01-04|06:05:48.000,32.229,25.69653,28.2881,37.41063
2017-01-04|06:05:58.000,32.22254,25.74414,28.26341,37.39938
2017-01-04|06:06:08.000,32.21593,25.7416,28.25624,37.38812
2017-01-04|06:06:18.000,32.206,25.72719,28.24907,37.40966
2017-01-04|06:06:28.000,32.19606,25.70297,28.2419,37.42327
2017-01-04|06:06:38.000,32.18766,25.78149,28.25079,37.43503
2017-01-04|06:06:48.000,32.18121,25.68704,28.26005,37.44679
2017-01-04|06:06:58.000,32.17475,25.76032,28.26018,37.45855
2017-01-04|06:07:08.000,32.1683,25.71934,28.24617,37.48418
2017-01-04|06:07:18.000,32.1657,25.71522,28.24957,37.61731
2017-01-04|06:07:28.000,32.16796,25.72326,28.2617,37.59574
2017-01-04|06:07:38.000,32.17023,25.68973,28.24449,37.51322
2017-01-04|06:07:48.000,32.1725,25.76723,28.25479,37.4474
2017-01-04|06:07:58.000,32.17476,25.77071,28.25915,37.3912
2017-01-04|06:08:08.000,32.17703,25.75004,28.24397,37.35826
2017-01-04|06:08:18.000,32.17929,25.68682,28.24957,37.33483
2017-01-04|06:08:28.000,32.18156,25.75551,28.25202,37.31326
2017-01-04|06:08:38.000,32.18382,25.73711,28.2652,37.29009
2017-01-04|06:08:48.000,32.18608,25.69193,28.26051,37.33323
