,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-03|14:56:48.000,34.14795,27.20187,29.49699,38.88893
2017-01-03|14:56:58.000,34.13671,27.19803,29.48147,38.85179
2017-01-03|14:57:08.000,34.11625,27.15269,29.4847,38.83595
2017-01-03|14:57:18.000,34.06024,27.14267,29.48792,38.82658
2017-01-03|14:57:28.000,34.05848,27.11507,29.49115,38.81623
2017-01-03|14:57:38.000,34.06771,27.18538,29.49438,38.79283
2017-01-03|14:57:48.000,34.07695,27.19854,29.4976,38.75417
2017-01-03|14:57:58.000,34.09836,27.22088,29.50083,38.73692
2017-01-03|14:58:08.000,34.12663,27.16339,29.50406,38.71321
2017-01-03|14:58:18.000,34.12125,27.17065,29.48701,38.7653
2017-01-03|14:58:28.000,34.11587,27.20928,29.49875,38.81481
2017-01-03|14:58:38.000,34.11049,27.16845,29.49421,38.86217
2017-01-03|14:58:48.000,34.1051,27.12514,29.4781,38.90973
2017-01-03|14:58:58.000,34.0761,27.14756,29.47526,38.95636
2017-01-03|14:59:08.000,34.07113,27.18224,29.47242,38.99547
2017-01-03|14:59:18.000,34.06616,27.14466,29.46959,39.02645
2017-01-03|14:59:28.000,34.06118,27.11677,29.46675,39.05618
2017-01-03|14:59:38.000,34.05621,27.18417,29.46391,39.15327
2017-01-03|14:59:48.000,34.05124,27.17999,29.46108,39.15107
2017-01-03|14:59:58.000,34.02942,27.15563,29.45824,39.05828
2017-01-03|15:00:08.000,34.05095,27.12729,29.4554,38.96339
2017-01-03|15:00:18.000,34.08402,27.17725,29.47317,38.93102
2017-01-03|15:00:28.000,34.12811,27.2032,29.46422,38.88918
2017-01-03|15:00:38.000,34.12113,27.13982,29.47509,38.87913
2017-01-03|15:00:48.000,34.11414,27.18562,29.45231,38.86954
2017-01-03|15:00:58.000,34.10716,27.17086,29.44341,38.8702
2017-01-03|15:01:08.000,34.08614,27.18126,29.4345,38.89609
2017-01-03|15:01:18.000,34.07194,27.2158,29.45387,38.92517
2017-01-03|15:01:28.000,34.06548,27.13729,29.46247,38.96579
2017-01-03|15:01:38.000,34.05902,27.1549,29.47108,38.9979
2017-01-03|15:01:48.000,34.05255,27.21597,29.47434,39.03425
2017-01-03|15:01:58.000,34.04815,27.20885,29.47481,39.0524
2017-01-03|15:02:08.000,34.04429,27.1903,29.4781,39.06678
2017-01-03|15:02:18.000,34.04043,27.11601,29.47526,39.04714
2017-01-03|15:02:28.000,34.03658,27.12033,29.47243,38.99938
2017-01-03|15:02:38.000,34.03272,27.20488,29.46959,38.94097
2017-01-03|15:02:48.000,34.02886,27.15759,29.46675,38.86347
2017-01-03|15:02:58.000,34.02078,27.14734,29.46392,38.85168
2017-01-03|15:03:08.000,33.97414,27.16888,29.46108,38.87325
2017-01-03|15:03:18.000,33.98475,27.14333,29.45824,38.90105
2017-01-03|15:03:28.000,33.99599,27.22184,29.45541,38.95473
2017-01-03|15:03:38.000,33.95962,27.20338,29.47739,38.99173
2017-01-03|15:03:48.000,33.96046,27.17749,29.46947,39.06258
2017-01-03|15:03:58.000,33.96862,27.15117,29.45991,39.0253
2017-01-03|15:04:08.000,33.9557,27.1744,29.46549,38.93757
2017-01-03|15:04:18.000,33.95691,27.13277,29.46054,38.87186
2017-01-03|15:04:28.000,33.98191,27.1552,29.45414,38.87632
2017-01-03|15:04:38.000,34.01382,27.17763,29.46116,38.88329
2017-01-03|15:04:48.000,34.04957,27.20006,29.45466,38.86479
2017-01-03|15:04:58.000,34.04095,27.22249,29.47272,38.81879
2017-01-03|15:05:08.000,34.03234,27.1572,29.47109,38.7729
2017-01-03|15:05:18.000,34.01564,27.20716,29.47623,38.73652
2017-01-03|15:05:28.000,34.0106,27.11285,29.46189,38.71297
2017-01-03|15:05:38.000,34.02082,27.11285,29.47812,38.72106
2017-01-03|15:05:48.000,33.99426,27.11285,29.45574,38.72915
2017-01-03|15:05:58.000,33.98534,27.11285,29.46875,38.76664
2017-01-03|15:06:08.000,33.97643,27.11285,29.45584,38.80647
2017-01-03|15:06:18.000,33.97551,27.11285,29.46327,38.84222
2017-01-03|15:06:28.000,33.98545,27.11285,29.47617,38.87335
2017-01-03|15:06:38.000,33.99539,27.11285,29.45473,38.89706
2017-01-03|15:06:48.000,34.01117,27.11285,29.47627,38.91144
2017-01-03|15:06:58.000,34.02782,27.11285,29.4542,38.97757
2017-01-03|15:07:08.000,34.03643,27.11285,29.46518,39.00188
2017-01-03|15:07:18.000,34.04505,27.11285,29.45847,38.9412
2017-01-03|15:07:28.000,34.04548,27.11285,29.45421,38.88323
2017-01-03|15:07:38.000,34.0256,27.11285,29.46256,38.83794
2017-01-03|15:07:48.000,34.05169,27.11285,29.47825,38.81364
2017-01-03|15:07:58.000,34.05743,27.11285,29.45394,38.82801
2017-01-03|15:08:08.000,34.06318,27.11285,29.45917,38.84684
2017-01-03|15:08:18.000,34.06892,27.11285,29.46531,38.89183
2017-01-03|15:08:28.000,34.07467,27.11285,29.47146,38.93953
2017-01-03|15:08:38.000,34.0662,27.11285,29.47761,38.98483
2017-01-03|15:08:48.000,34.05038,27.11285,29.46515,39.00286
2017-01-03|15:08:58.000,34.04607,27.11285,29.47777,38.93476
2017-01-03|15:09:08.000,34.04177,27.11285,29.46194,38.85261
2017-01-03|15:09:18.000,34.03746,27.11285,29.47227,38.79611
2017-01-03|15:09:28.000,34.03316,27.11285,29.45506,38.73819
2017-01-03|15:09:38.000,34.02885,27.11285,29.4605,38.69221
2017-01-03|15:09:48.000,34.04944,27.11285,29.47503,38.68995
2017-01-03|15:09:58.000,34.0694,27.11285,29.46144,38.70433
2017-01-03|15:10:08.000,34.08596,27.11285,29.47786,38.76663
2017-01-03|15:10:18.000,34.10117,27.11285,29.46556,38.84321
2017-01-03|15:10:28.000,34.07555,27.11285,29.45327,38.90528
2017-01-03|15:10:38.000,34.05832,27.11285,29.45604,39.0255
